19880712T,0.36,0.36,0.36,0.36,0.0
19890707T,0.26,0.26,0.26,0.26,0.0
19870807T,0.56,0.56,0.56,0.56,0.0
19880802T,0.45,0.45,0.45,0.45,0.0
19880809T,0.66,0.66,0.66,0.66,0.0
19890804T,0.52,0.52,0.52,0.52,0.0
19870904T,0.42,0.42,0.42,0.42,0.0
19870911T,0.5,0.5,0.5,0.5,0.0
19880906T,0.6,0.6,0.6,0.6,0.0
19890901T,0.53,0.53,0.53,0.53,0.0
19871002T,0.44,0.44,0.44,0.44,0.0
19871009T,0.46,0.46,0.46,0.46,0.0
19881004T,0.37,0.37,0.37,0.37,0.0
19881011T,0.39,0.39,0.39,0.39,0.0
19891006T,0.44,0.44,0.44,0.44,0.0
19871106T,0.47,0.47,0.47,0.47,0.0
19881101T,0.31,0.31,0.31,0.31,0.0
19881108T,0.39,0.39,0.39,0.39,0.0
19891103T,0.27,0.27,0.27,0.27,0.0
19871204T,0.25,0.25,0.25,0.25,0.0
19871211T,0.23,0.23,0.23,0.23,0.0
19881206T,0.33,0.33,0.33,0.33,0.0
19881212T,0.28,0.28,0.28,0.28,0.0
19891207T,0.25,0.25,0.25,0.25,0.0
19880108T,0.34,0.34,0.34,0.34,0.0
19890103T,0.34,0.34,0.34,0.34,0.0
19890110T,0.21,0.21,0.21,0.21,0.0
19900105T,0.26,0.26,0.26,0.26,0.0
19880205T,0.32,0.32,0.32,0.32,0.0
19880212T,0.32,0.32,0.32,0.32,0.0
19890207T,0.27,0.27,0.27,0.27,0.0
19900202T,0.3,0.3,0.3,0.3,0.0
19880304T,0.38,0.38,0.38,0.38,0.0
19880311T,0.43,0.43,0.43,0.43,0.0
19890306T,0.41,0.41,0.41,0.41,0.0
19900301T,0.45,0.45,0.45,0.45,0.0
19880401T,0.35,0.35,0.35,0.35,0.0
19880408T,0.33,0.33,0.33,0.33,0.0
19890403T,0.23,0.23,0.23,0.23,0.0
19890410T,0.23,0.23,0.23,0.23,0.0
19900405T,0.22,0.22,0.22,0.22,0.0
19880506T,0.38,0.38,0.38,0.38,0.0
19890501T,0.19,0.19,0.19,0.19,0.0
19890508T,0.23,0.23,0.23,0.23,0.0
19900503T,0.28,0.28,0.28,0.28,0.0
19880603T,0.26,0.26,0.26,0.26,0.0
19880610T,0.28,0.28,0.28,0.28,0.0
19890605T,0.29,0.29,0.29,0.29,0.0
19890612T,0.33,0.33,0.33,0.33,0.0
19880701T,0.45,0.45,0.45,0.45,0.0
19880708T,0.35,0.35,0.35,0.35,0.0
19890703T,0.26,0.26,0.26,0.26,0.0
19890710T,0.16,0.16,0.16,0.16,0.0
19900705T,0.23,0.23,0.23,0.23,0.0
19880805T,0.21,0.21,0.21,0.21,0.0
19880812T,0.26,0.26,0.26,0.26,0.0
19890807T,0.19,0.19,0.19,0.19,0.0
19900802T,0.28,0.28,0.28,0.28,0.0
19880902T,0.18,0.18,0.18,0.18,0.0
19880909T,0.17,0.17,0.17,0.17,0.0
19890904T,0.24,0.24,0.24,0.24,0.0
19890911T,0.2,0.2,0.2,0.2,0.0
19900906T,0.26,0.26,0.26,0.26,0.0
19881007T,0.13,0.13,0.13,0.13,0.0
19891002T,0.22,0.22,0.22,0.22,0.0
19891009T,0.26,0.26,0.26,0.26,0.0
19901004T,0.4,0.4,0.4,0.4,0.0
19881104T,0.35,0.35,0.35,0.35,0.0
19881111T,0.23,0.23,0.23,0.23,0.0
19891106T,0.3,0.3,0.3,0.3,0.0
19901101T,0.17,0.17,0.17,0.17,0.0
19881202T,0.19,0.19,0.19,0.19,0.0
19881209T,0.17,0.17,0.17,0.17,0.0
19891204T,0.24,0.24,0.24,0.24,0.0
19891211T,0.22,0.22,0.22,0.22,0.0
19901206T,0.24,0.24,0.24,0.24,0.0
19890106T,0.26,0.26,0.26,0.26,0.0
19900101T,0.36,0.36,0.36,0.36,0.0
19900108T,0.36,0.36,0.36,0.36,0.0
19910103T,0.32,0.32,0.32,0.32,0.0
19890203T,0.33,0.33,0.33,0.33,0.0
19890210T,0.43,0.43,0.43,0.43,0.0
19900205T,0.42,0.42,0.42,0.42,0.0
19900212T,0.29,0.29,0.29,0.29,0.0
19890303T,0.29,0.29,0.29,0.29,0.0
19890310T,0.13,0.13,0.13,0.13,0.0
19900305T,0.28,0.28,0.28,0.28,0.0
19900311T,0.29,0.29,0.29,0.29,0.0
19910307T,0.18,0.18,0.18,0.18,0.0
19890407T,0.23,0.23,0.23,0.23,0.0
19900402T,0.25,0.25,0.25,0.25,0.0
19900409T,0.21,0.21,0.21,0.21,0.0
19910404T,0.31,0.31,0.31,0.31,0.0
19890505T,0.3,0.3,0.3,0.3,0.0
19890512T,0.38,0.38,0.38,0.38,0.0
19900507T,0.43,0.43,0.43,0.43,0.0
19910502T,0.48,0.48,0.48,0.48,0.0
19890602T,0.42,0.42,0.42,0.42,0.0
19890609T,0.43,0.43,0.43,0.43,0.0
19900604T,0.32,0.32,0.32,0.32,0.0
19900611T,0.33,0.33,0.33,0.33,0.0
19910606T,0.4,0.4,0.4,0.4,0.0
19890707T,0.37,0.37,0.37,0.37,0.0
